species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,5,10,0.1,-0.7220403114041758,36864,223
bird1,0,11,0.001,-1.9346247896840822,1,1
bird1,0,11,0.01,-1.9346247959945622,1,1
bird1,0,11,0.1,-1.9346248592321234,1,1
bird1,1,11,0.001,-0.71906642589255,9,8
bird1,1,11,0.01,-0.7188152561596935,9,8
bird1,1,11,0.1,-0.7185920436910979,9,8
bird1,2,11,0.001,-0.7031676594738563,72,36
bird1,2,11,0.01,-0.702370611967311,72,36
bird1,2,11,0.1,-0.7017772162769487,72,36
bird1,3,11,0.001,-0.683340400206522,576,79
bird1,3,11,0.01,-0.6816966446854039,576,79
bird1,3,11,0.1,-0.6807181108402306,576,79
bird1,4,11,0.001,-0.7010737380737053,4608,141
bird1,4,11,0.01,-0.6972304963037813,4608,141
bird1,4,11,0.1,-0.6948038219819264,4608,141
bird1,5,11,0.001,-0.7257668645721259,36864,209
bird1,5,11,0.01,-0.721761935984298,36864,209
bird1,5,11,0.1,-0.7200308715202162,36864,209
bird1,0,12,0.001,-1.9287561742410317,1,1
bird1,0,12,0.01,-1.9287561859939681,1,1
bird1,0,12,0.1,-1.928756303655972,1,1
bird1,1,12,0.001,-0.7294855473517396,9,8
bird1,1,12,0.01,-0.7286030527071528,9,8
bird1,1,12,0.1,-0.7277465134785733,9,8
bird1,2,12,0.001,-0.7096589398610159,72,37
bird1,2,12,0.01,-0.7087378406814775,72,37
bird1,2,12,0.1,-0.708054128424063,72,37
bird1,3,12,0.001,-0.6896432591866332,576,79
bird1,3,12,0.01,-0.6880078022954119,576,79
bird1,3,12,0.1,-0.6869792566922011,576,79
bird1,4,12,0.001,-0.6961997185101155,4608,138
bird1,4,12,0.01,-0.6942238490012056,4608,138
bird1,4,12,0.1,-0.6935613025009185,4608,138
bird1,5,12,0.001,-0.7117006767293516,36864,207
bird1,5,12,0.01,-0.7084423217863031,36864,207
bird1,5,12,0.1,-0.7075925098781389,36864,207
bird1,0,13,0.001,-1.9367068669717762,1,1
bird1,0,13,0.01,-1.9367068668730985,1,1
bird1,0,13,0.1,-1.936706866021633,1,1
bird1,1,13,0.001,-0.7334576801263887,9,8
bird1,1,13,0.01,-0.733077256681786,9,8
bird1,1,13,0.1,-0.7327196349028441,9,8
bird1,2,13,0.001,-0.7155918577252589,72,34
bird1,2,13,0.01,-0.7142450689614547,72,34
bird1,2,13,0.1,-0.7131137302447296,72,34
bird1,3,13,0.001,-0.7031370267435427,576,77
bird1,3,13,0.01,-0.6989405740304259,576,77
bird1,3,13,0.1,-0.6956846119023506,576,77
bird1,4,13,0.001,-0.7182407090877347,4608,146
bird1,4,13,0.01,-0.7117252101784918,4608,146
bird1,4,13,0.1,-0.707269597890605,4608,146
bird1,5,13,0.001,-0.7392889973946276,36864,225
bird1,5,13,0.01,-0.7314948972796993,36864,225
bird1,5,13,0.1,-0.7267867444806635,36864,225
bird1,0,14,0.001,-1.9372697121343518,1,1
