,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
173,bre,3,80,1.0,-0.09913777829059135,1000,290
174,bre,3,90,1.0,-0.1076509926416526,1000,304
175,bre,3,100,1.0,-0.1114357788210858,1000,308
176,bre,4,1,0.001,-0.06485253512773197,10000,149
177,bre,4,10,0.001,-0.07097546968388983,10000,332
178,bre,4,20,0.001,-0.08343036875762573,10000,416
179,bre,4,30,0.001,-0.09647973502321969,10000,474
180,bre,4,40,0.001,-0.1139759082137767,10000,508
181,bre,4,50,0.001,-0.1346356466084603,10000,542
182,bre,4,60,0.001,-0.14815854130347997,10000,581
183,bre,4,70,0.001,-0.16865346460519098,10000,610
184,bre,4,80,0.001,-0.19069724216482373,10000,602
185,bre,4,90,0.001,-0.1928345964429967,10000,614
186,bre,4,100,0.001,-0.2160212016261843,10000,622
187,bre,4,1,0.01,-0.06427046831580915,10000,149
188,bre,4,10,0.01,-0.06878317824042177,10000,332
189,bre,4,20,0.01,-0.0809761820911877,10000,416
190,bre,4,30,0.01,-0.09292638804320323,10000,474
191,bre,4,40,0.01,-0.11004834125172744,10000,508
192,bre,4,50,0.01,-0.1291144026261155,10000,542
193,bre,4,60,0.01,-0.14337219966173093,10000,581
194,bre,4,70,0.01,-0.16112507909300589,10000,610
195,bre,4,80,0.01,-0.18509443109270887,10000,602
196,bre,4,90,0.01,-0.18699124981753817,10000,614
197,bre,4,100,0.01,-0.2101308784612727,10000,622
198,bre,4,1,0.1,-0.06413161383873642,10000,149
199,bre,4,10,0.1,-0.06837659746253383,10000,332
200,bre,4,20,0.1,-0.08096591746173157,10000,416
201,bre,4,30,0.1,-0.09299382277818556,10000,474
202,bre,4,40,0.1,-0.1112274082829978,10000,508
203,bre,4,50,0.1,-0.12893883374947826,10000,542
204,bre,4,60,0.1,-0.14415046181498878,10000,581
205,bre,4,70,0.1,-0.16067433150496901,10000,610
206,bre,4,80,0.1,-0.18594563654015783,10000,602
207,bre,4,90,0.1,-0.1886051753497178,10000,614
208,bre,4,100,0.1,-0.21178189043827528,10000,622
209,bre,4,1,1.0,-0.06754745151575568,10000,149
210,bre,4,10,1.0,-0.0790247999261925,10000,332
211,bre,4,20,1.0,-0.09698652124226433,10000,416
212,bre,4,30,1.0,-0.11444635658098594,10000,474
213,bre,4,40,1.0,-0.13985323568004335,10000,508
214,bre,4,50,1.0,-0.16112274845886979,10000,542
215,bre,4,60,1.0,-0.17984166849802188,10000,581
216,bre,4,70,1.0,-0.20223313945714483,10000,610
217,bre,4,80,1.0,-0.22757580016914775,10000,602
218,bre,4,90,1.0,-0.23621920177956618,10000,614
219,bre,4,100,1.0,-0.2604974196886574,10000,622
220,bre,5,1,0.001,-0.0658731911375793,100000,215
221,bre,5,10,0.001,-0.08132696142135888,100000,546
222,bre,5,20,0.001,-0.10959496290660938,100000,681
223,bre,5,30,0.001,-0.1456172094248138,100000,784
224,bre,5,40,0.001,-0.19992627911223507,100000,834
225,bre,5,50,0.001,-0.2529761383684688,100000,876
226,bre,5,60,0.001,-0.27753354563413946,100000,915
227,bre,5,70,0.001,-0.33039736383923174,100000,948
228,bre,5,80,0.001,-0.35451251293593433,100000,904
229,bre,5,90,0.001,-0.39323519308161053,100000,907
230,bre,5,100,0.001,-0.4656168800270068,100000,892
231,bre,5,1,0.01,-0.065141636430734,100000,215
232,bre,5,10,0.01,-0.07845472286698812,100000,546
233,bre,5,20,0.01,-0.1062697470598034,100000,681
234,bre,5,30,0.01,-0.14120200383310852,100000,784
235,bre,5,40,0.01,-0.1944174211529442,100000,834
236,bre,5,50,0.01,-0.24767609142522126,100000,876
237,bre,5,60,0.01,-0.27318646729055107,100000,915
238,bre,5,70,0.01,-0.320595034396015,100000,948
239,bre,5,80,0.01,-0.34935872999547407,100000,904
240,bre,5,90,0.01,-0.3823825118687606,100000,907
241,bre,5,100,0.01,-0.454888641454451,100000,892
242,bre,5,1,0.1,-0.06501880276845756,100000,215
243,bre,5,10,0.1,-0.0791551994765873,100000,546
244,bre,5,20,0.1,-0.10762134092477149,100000,681
245,bre,5,30,0.1,-0.14412949638899838,100000,784
246,bre,5,40,0.1,-0.1971626215720463,100000,834
247,bre,5,50,0.1,-0.25024925903573614,100000,876
248,bre,5,60,0.1,-0.27726955811238563,100000,915
249,bre,5,70,0.1,-0.3221399509087526,100000,948
250,bre,5,80,0.1,-0.3538964272894196,100000,904
251,bre,5,90,0.1,-0.38290472871150244,100000,907
252,bre,5,100,0.1,-0.4569295593018087,100000,892
253,bre,5,1,1.0,-0.06963348434196884,100000,215
254,bre,5,10,1.0,-0.0987314615015229,100000,546
255,bre,5,20,1.0,-0.13621036223054053,100000,681
