,sim,alpha,corpusSize,trueK,bestK,best_ll,correct,entropy,nStates,way,bestLag
109,1,0.1,10,1,2,-0.16470736938515296,0,0.39671824174048964,4,lagged,50.0
110,1,0.1,50,1,2,-0.2002344958261904,0,0.0499909513025362,4,semicol,
111,1,0.1,50,1,2,-0.19120160086766216,0,0.14367789406607456,4,lagged,50.0
112,1,0.1,100,1,1,-0.19046594690473556,1,0.0044167726094410595,4,semicol,
113,1,0.1,100,1,1,-0.2106772173610648,1,0.1651628087040295,4,lagged,50.0
114,1,0.5,10,1,2,-0.1973900901093523,0,0.6754415578430787,4,semicol,
115,1,0.5,10,1,1,-0.272120675788167,1,0.5848303689236127,4,lagged,20.0
116,1,0.5,50,1,1,-0.2229923569962385,1,0.6326127390392065,4,semicol,
117,1,0.5,50,1,1,-0.2530368775532784,1,0.5918843381476624,4,lagged,20.0
118,1,0.5,100,1,2,-0.2454428065746817,0,0.7681925057890983,4,semicol,
119,1,0.5,100,1,1,-0.2439368781233587,1,0.5659189133908792,4,lagged,30.0
120,1,1.0,10,1,1,-0.23068846934189852,1,0.7019006798735994,4,semicol,
121,1,1.0,10,1,1,-0.1531552314068106,1,0.7352397329422939,4,lagged,20.0
122,1,1.0,50,1,1,-0.2352242230932288,1,0.6758512504901085,4,semicol,
123,1,1.0,50,1,1,-0.21667767802209265,1,0.6924460435956181,4,lagged,30.0
124,1,1.0,100,1,2,-0.2187009931535126,0,0.6533127438932008,4,semicol,
125,1,1.0,100,1,2,-0.22098549512460366,0,0.7187566512975414,4,lagged,50.0
126,1,0.1,10,1,4,-0.1630562782191109,0,0.2865726473177176,5,semicol,
127,1,0.1,10,1,1,-0.19911465950715557,1,0.17670867790243708,5,lagged,50.0
128,1,0.1,50,1,3,-0.20235364074267476,0,0.15054028444646556,5,semicol,
129,1,0.1,50,1,1,-0.1765666958296101,1,0.34340674573373986,5,lagged,30.0
130,1,0.1,100,1,1,-0.21043882338846426,1,0.28638203320485084,5,semicol,
131,1,0.1,100,1,1,-0.21283519847531354,1,0.15973206799423584,5,lagged,30.0
132,1,0.5,10,1,1,-0.2298006309867994,1,0.6939547634843772,5,semicol,
133,1,0.5,10,1,1,-0.27441373487026544,1,0.636927411021573,5,lagged,30.0
134,1,0.5,50,1,1,-0.24667015120108102,1,0.7139654962767754,5,semicol,
135,1,0.5,50,1,1,-0.21880939742886224,1,0.6248323148383637,5,lagged,50.0
136,1,0.5,100,1,1,-0.2561847360704377,1,0.5569471398595607,5,semicol,
137,1,0.5,100,1,1,-0.2551193436184093,1,0.594205843700394,5,lagged,20.0
138,1,1.0,10,1,1,-0.28659226651028297,1,0.7873721263032499,5,semicol,
139,1,1.0,10,1,1,-0.2191467702742992,1,0.83566073165785,5,lagged,50.0
140,1,1.0,50,1,2,-0.23869572421501242,0,0.8052298048731485,5,semicol,
141,1,1.0,50,1,1,-0.2659378613649142,1,0.675212393049492,5,lagged,20.0
142,1,1.0,100,1,1,-0.23527201854890045,1,0.7434801850769537,5,semicol,
143,1,1.0,100,1,1,-0.2614325381676781,1,0.8347511287276174,5,lagged,50.0
144,1,0.1,10,2,3,-0.12770392813008094,0,0.0,2,semicol,
145,1,0.1,10,2,3,-0.1073245527757857,0,0.0,2,lagged,50.0
