species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,1,18,0.001,-0.784485820761495,9,8
bird1,1,18,0.01,-0.7843152866331516,9,8
bird1,1,18,0.1,-0.7841627856984864,9,8
bird1,2,18,0.001,-0.7421034784909943,72,36
bird1,2,18,0.01,-0.7401616767750337,72,36
bird1,2,18,0.1,-0.7386092599012607,72,36
bird1,3,18,0.001,-0.7324057367986606,576,76
bird1,3,18,0.01,-0.7289656646544316,576,76
bird1,3,18,0.1,-0.7264657655496594,576,76
bird1,4,18,0.001,-0.735108797607616,4608,130
bird1,4,18,0.01,-0.7316232838913032,4608,130
bird1,4,18,0.1,-0.7296417630263472,4608,130
bird1,5,18,0.001,-0.7429831776466423,36864,196
bird1,5,18,0.01,-0.7386452904764973,36864,196
bird1,5,18,0.1,-0.7367236791913949,36864,196
bird1,0,19,0.001,-1.7504594409913403,1,1
bird1,0,19,0.01,-1.75045949076559,1,1
bird1,0,19,0.1,-1.750459988879723,1,1
bird1,1,19,0.001,-0.7828733194431755,9,8
bird1,1,19,0.01,-0.7827059236966152,9,8
bird1,1,19,0.1,-0.7825632297967196,9,8
bird1,2,19,0.001,-0.741611598613756,72,34
bird1,2,19,0.01,-0.7400424668826076,72,34
bird1,2,19,0.1,-0.7387787564120881,72,34
bird1,3,19,0.001,-0.7280227937988099,576,73
bird1,3,19,0.01,-0.7262660829049693,576,73
bird1,3,19,0.1,-0.7252767840001407,576,73
bird1,4,19,0.001,-0.7345671305523458,4608,125
bird1,4,19,0.01,-0.7309699861514461,4608,125
bird1,4,19,0.1,-0.7290134733079129,4608,125
bird1,5,19,0.001,-0.7384573130912174,36864,193
bird1,5,19,0.01,-0.734240444250922,36864,193
bird1,5,19,0.1,-0.7326108695454424,36864,193
bird1,0,20,0.001,-1.7523562794706264,1,1
bird1,0,20,0.01,-1.7523563650473641,1,1
bird1,0,20,0.1,-1.7523572211265308,1,1
bird1,1,20,0.001,-0.7791223331216331,9,8
bird1,1,20,0.01,-0.7791265735588,9,8
bird1,1,20,0.1,-0.7791694055087204,9,8
bird1,2,20,0.001,-0.7346845433253575,72,33
bird1,2,20,0.01,-0.7342210892540129,72,33
bird1,2,20,0.1,-0.7340224698163949,72,33
bird1,3,20,0.001,-0.7190856332026433,576,65
bird1,3,20,0.01,-0.718302572483724,576,65
bird1,3,20,0.1,-0.7181120880634939,576,65
bird1,4,20,0.001,-0.7227779096216181,4608,111
bird1,4,20,0.01,-0.7195185030990419,4608,111
bird1,4,20,0.1,-0.7179921159694035,4608,111
bird1,5,20,0.001,-0.7245582467779811,36864,167
bird1,5,20,0.01,-0.7208817825332833,36864,167
bird1,5,20,0.1,-0.7195810961246272,36864,167
bird1,0,21,0.001,-1.7658795286108813,1,1
bird1,0,21,0.01,-1.765879526377161,1,1
bird1,0,21,0.1,-1.7658795044570093,1,1
bird1,1,21,0.001,-0.7844796420310537,9,8
bird1,1,21,0.01,-0.7839656834832752,9,8
bird1,1,21,0.1,-0.7834627046284487,9,8
bird1,2,21,0.001,-0.743330450429389,72,38
bird1,2,21,0.01,-0.7415769661552086,72,38
bird1,2,21,0.1,-0.7402269264708976,72,38
bird1,3,21,0.001,-0.7333511271565867,576,74
bird1,3,21,0.01,-0.7299113418267655,576,74
bird1,3,21,0.1,-0.7274784070081809,576,74
bird1,4,21,0.001,-0.736697462317256,4608,125
bird1,4,21,0.01,-0.7332255059802725,4608,125
bird1,4,21,0.1,-0.7313939889340184,4608,125
bird1,5,21,0.001,-0.7491381978101944,36864,186
bird1,5,21,0.01,-0.7413221587895904,36864,186
bird1,5,21,0.1,-0.736811041326629,36864,186
bird1,0,22,0.001,-1.7746822530614363,1,1
bird1,0,22,0.01,-1.7746821389573164,1,1
bird1,0,22,0.1,-1.7746809985578924,1,1
bird1,1,22,0.001,-0.791695768332955,9,8
bird1,1,22,0.01,-0.7911933682615196,9,8
bird1,1,22,0.1,-0.7907180817956909,9,8
bird1,2,22,0.001,-0.7462618001552057,72,37
bird1,2,22,0.01,-0.7450803699351576,72,37
bird1,2,22,0.1,-0.7443487526684217,72,37
bird1,3,22,0.001,-0.73622898389789,576,79
bird1,3,22,0.01,-0.7341392655466582,576,79
bird1,3,22,0.1,-0.7329483727208321,576,79
bird1,4,22,0.001,-0.7382045023010108,4608,134
bird1,4,22,0.01,-0.7357795240859913,4608,134
bird1,4,22,0.1,-0.7350526135492668,4608,134
bird1,5,22,0.001,-0.755610767831366,36864,201
bird1,5,22,0.01,-0.7474383970494686,36864,201
bird1,5,22,0.1,-0.7425527341955268,36864,201
bird1,0,23,0.001,-1.7634008504565821,1,1
bird1,0,23,0.01,-1.7634008861404156,1,1
bird1,0,23,0.1,-1.763401243324136,1,1
bird1,1,23,0.001,-0.7827395035711255,9,8
bird1,1,23,0.01,-0.7827441433184645,9,8
bird1,1,23,0.1,-0.782790631948056,9,8
bird1,2,23,0.001,-0.7404914270136472,72,29
bird1,2,23,0.01,-0.7398113968443747,72,29
bird1,2,23,0.1,-0.7393439932536339,72,29
bird1,3,23,0.001,-0.7262225215248074,576,64
bird1,3,23,0.01,-0.7255867917354409,576,64
bird1,3,23,0.1,-0.7257358802247126,576,64
bird1,4,23,0.001,-0.7273651041513375,4608,114
bird1,4,23,0.01,-0.724619171183564,4608,114
bird1,4,23,0.1,-0.7238026391204119,4608,114
bird1,5,23,0.001,-0.7452291706254707,36864,185
bird1,5,23,0.01,-0.7381271612323882,36864,185
bird1,5,23,0.1,-0.7344790519572687,36864,185
bird1,0,24,0.001,-1.7840118786505217,1,1
bird1,0,24,0.01,-1.7840116875291785,1,1
bird1,0,24,0.1,-1.7840097771339036,1,1
bird1,1,24,0.001,-0.7867529092097377,9,8
bird1,1,24,0.01,-0.7862577094863843,9,8
bird1,1,24,0.1,-0.7857734272131911,9,8
bird1,2,24,0.001,-0.7458498498057036,72,37
bird1,2,24,0.01,-0.7428112614904874,72,37
bird1,2,24,0.1,-0.7403710576331782,72,37
bird1,3,24,0.001,-0.7353637064022668,576,84
bird1,3,24,0.01,-0.7305030910903252,576,84
bird1,3,24,0.1,-0.7270333303074296,576,84
bird1,4,24,0.001,-0.7405330654799887,4608,146
bird1,4,24,0.01,-0.7348525894554852,4608,146
bird1,4,24,0.1,-0.7312672764488762,4608,146
bird1,5,24,0.001,-0.7588940270775639,36864,218
bird1,5,24,0.01,-0.7504678765628283,36864,218
bird1,5,24,0.1,-0.7454342110803607,36864,218
bird1,0,25,0.001,-1.749500474266641,1,1
bird1,0,25,0.01,-1.7495005288402001,1,1
bird1,0,25,0.1,-1.749501074966472,1,1
bird1,1,25,0.001,-0.7797593868984815,9,8
bird1,1,25,0.01,-0.7792913957056238,9,8
bird1,1,25,0.1,-0.7788566814547602,9,8
bird1,2,25,0.001,-0.741759194705055,72,35
bird1,2,25,0.01,-0.7399804819953041,72,35
bird1,2,25,0.1,-0.7384672301047692,72,35
bird1,3,25,0.001,-0.729470960079118,576,73
bird1,3,25,0.01,-0.7275205405346397,576,73
bird1,3,25,0.1,-0.7262619314945205,576,73
bird1,4,25,0.001,-0.7295204242542819,4608,120
bird1,4,25,0.01,-0.7270643386299054,4608,120
bird1,4,25,0.1,-0.7258957218002435,4608,120
bird1,5,25,0.001,-0.7376405502968633,36864,180
bird1,5,25,0.01,-0.7328514474467868,36864,180
bird1,5,25,0.1,-0.7302299800712011,36864,180
bird1,0,26,0.001,-1.7427724033656782,1,1
bird1,0,26,0.01,-1.7427725135106817,1,1
bird1,0,26,0.1,-1.7427736152429307,1,1
bird1,1,26,0.001,-0.7905626543368992,9,8
bird1,1,26,0.01,-0.7902363731550821,9,8
bird1,1,26,0.1,-0.7899354646575297,9,8
bird1,2,26,0.001,-0.7506437538985239,72,37
bird1,2,26,0.01,-0.7493007614671585,72,37
bird1,2,26,0.1,-0.7482776991036779,72,37
bird1,3,26,0.001,-0.7421254085615022,576,75
bird1,3,26,0.01,-0.7391911024431954,576,75
bird1,3,26,0.1,-0.7371103646198832,576,75
bird1,4,26,0.001,-0.7510436268988615,4608,132
bird1,4,26,0.01,-0.7468571276616311,4608,132
bird1,4,26,0.1,-0.744369282649725,4608,132
bird1,5,26,0.001,-0.7693072993873368,36864,204
bird1,5,26,0.01,-0.7598704151060309,36864,204
bird1,5,26,0.1,-0.7538409538237986,36864,204
bird1,0,27,0.001,-1.75093427819913,1,1
bird1,0,27,0.01,-1.7509343578427756,1,1
bird1,0,27,0.1,-1.7509351545992902,1,1
bird1,1,27,0.001,-0.7815542302946503,9,8
bird1,1,27,0.01,-0.7813943954108662,9,8
bird1,1,27,0.1,-0.7812677077374148,9,8
bird1,2,27,0.001,-0.7362383666632345,72,34
bird1,2,27,0.01,-0.7349108339519349,72,34
bird1,2,27,0.1,-0.7339260969202585,72,34
bird1,3,27,0.001,-0.7234667599442087,576,68
bird1,3,27,0.01,-0.7216081420456263,576,68
bird1,3,27,0.1,-0.7205252953110877,576,68
bird1,4,27,0.001,-0.7409199350991892,4608,115
bird1,4,27,0.01,-0.733372549514163,4608,115
bird1,4,27,0.1,-0.7279997000366368,4608,115
bird1,5,27,0.001,-0.7405534830816275,36864,176
